ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Solomon  Islands,17,3,20,,,,,,,Caroline Islands,0,0,0,0%
,,,,,,,,,,,,,,,Sri Lanka,4916,3134,8050,,,,,,,Christmas Island,0,0,0,0%
,,,,,,,,,,,,,,,Taiwan,65889,64785,130674,,,,,,,Cocos( Kelling)Islands,0,0,0,0%
,,,,,,,,,,,,,,,Timor0Leste,136,28,164,,,,,,,Cook  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Tokelau,0,0,0,,,,,,,Coral  Sea  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Tonga,9,3,12,,,,,,,French  Polynesia,18,0,18,0%
,,,,,,,,,,,,,,,Trust Pacific,0,0,0,,,,,,,Guam,106,0,106,0%
,,,,,,,,,,,,,,,Tuvalu,0,0,0,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,0%
,,,,,,,,,,,,,,,United States Minor Outlying Island,0,0,0,,,,,,,Howland Island,0,0,0,0%
,,,,,,,,,,,,,,,Vanautu,,159,159,,,,,,,Jarvis  Island,0,0,0,0%
,,,,,,,,,,,,,,,Vanuatu,59,,59,,,,,,,Johnston Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Vietnam,72754,67761,140515,,,,,,,Kingman  Reef,0,0,0,0%
,,,,,,,,,,,,,,,Wake  Island,0,0,0,,,,,,,Micronesia FSM,0,0,0,0%
,,,,,,,,,,,,,,,Wallis  and  Futuna  Islands,0,0,0,,,,,,,Midway  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Europe,471748,430354,902102,,,,,,,N. Mariana Islands,0,1,1,0%
,,,,,,,,,,,,,,,ALBANIA,113,108,221,,,,,,,Nauru,36,0,36,0%
,,,,,,,,,,,,,,,ANDORRA,85,26,111,,,,,,,New Caledonia,132,0,132,0%
,,,,,,,,,,,,,,,Armenia,134,85,219,,,,,,,Niue,0,0,0,0%
,,,,,,,,,,,,,,,Austria,6458,6090,12548,,,,,,,Norfalk  Island,0,0,0,0%
,,,,,,,,,,,,,,,Azerbaijan,94,86,180,,,,,,,North Korea,0,0,0,0%
,,,,,,,,,,,,,,,Belarus,811,678,1489,,,,,,,Palmyra Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Belgium,7490,7393,14883,,,,,,,Pitcairn Islands,0,0,0,0%
,,,,,,,,,,,,,,,Bosnia0Herzegovina,36,85,121,,,,,,,Ross  Dependency,0,0,0,0%
,,,,,,,,,,,,,,,Bulgaria,769,617,1386,,,,,,,Samoa,12,0,12,0%
,,,,,,,,,,,,,,,Channel Islands,3,,3,,,,,,,Tokelau,0,0,0,0%
,,,,,,,,,,,,,,,Croatia,412,343,755,,,,,,,Trust Pacific,0,0,0,0%
,,,,,,,,,,,,,,,Cyprus,161,177,338,,,,,,,Tuvalu,2,0,2,0%
,,,,,,,,,,,,,,,Czech Republic,2732,2535,5267,,,,,,,United States Minor Outlying Island,0,0,0,0%
,,,,,,,,,,,,,,,Denmark,8709,7605,16314,,,,,,,Vanautu,,144,144,0%
,,,,,,,,,,,,,,,Estonia,1025,734,1759,,,,,,,Vanuatu,63,,63,0%
,,,,,,,,,,,,,,,Faeroe Islands ,8,0,8,,,,,,,Wake  Island,1,0,1,0%
,,,,,,,,,,,,,,,Finland,5809,3689,9498,,,,,,,Wallis  and  Futuna  Islands,0,0,0,0%
,,,,,,,,,,,,,,,France,49033,40577,89610,,,,,,,Channel Islands,2,,2,0%
,,,,,,,,,,,,,,,France  Mtr.,0,,0,,,,,,,Faeroe Islands ,0,0,0,0%
,,,,,,,,,,,,,,,French Southern and Antarctic Territories,0,0,0,,,,,,,France  Mtr.,0,,0,0%
,,,,,,,,,,,,,,,Georgia,138,128,266,,,,,,,French Southern and Antarctic Territories,0,0,0,0%
,,,,,,,,,,,,,,,Germany,63023,58174,121197,,,,,,,Gibraltar,10,0,10,0%
,,,,,,,,,,,,,,,Gibraltar,9,0,9,,,,,,,Guernsey,17,0,17,0%
,,,,,,,,,,,,,,,Greece,1027,1061,2088,,,,,,,Isle of Man,11,0,11,0%
,,,,,,,,,,,,,,,Guernsey,27,0,27,,,,,,,Jersey,34,0,34,0%
,,,,,,,,,,,,,,,Hungary,1750,1380,3130,,,,,,,Kosovo,0,24,24,0%
,,,,,,,,,,,,,,,Iceland,331,257,588,,,,,,,Madiera Islands,0,0,0,0%
,,,,,,,,,,,,,,,Ireland,4170,5222,9392,,,,,,,Utopia,0,0,0,0%
,,,,,,,,,,,,,,,Isle of Man,18,0,18,,,,,,,Vatican City State,0,0,0,0%
,,,,,,,,,,,,,,,Israel,23765,13043,36808,,,,,,,Yugoslavia,0,,0,0%
,,,,,,,,,,,,,,,Italy,12275,10724,22999,,,,,,,Libia,,28,28,0%
,,,,,,,,,,,,,,,Jersey,34,0,34,,,,,,,Libya,37,,37,0%
,,,,,,,,,,,,,,,Kazakhstan,2864,10837,13701,,,,,,,other,641,,641,0%
,,,,,,,,,,,,,,,Kosovo,0,80,80,,,,,,,stateless person,641,,641,0%
,,,,,,,,,,,,,,,Kyrgyzstan,250,219,469,,,,,,,Unspecified,0,,0,0%
,,,,,,,,,,,,,,,Latvia,755,644,1399,,,,,,,Bophuthatswana,0,0,0,0%
,,,,,,,,,,,,,,,Liechtenstein,68,54,122,,,,,,,Canary  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Lithuania,1280,1426,2706,,,,,,,Central African Republic,0,0,0,0%
,,,,,,,,,,,,,,,Luxembourg,589,248,837,,,,,,,Ceuta,0,0,0,0%
,,,,,,,,,,,,,,,Madiera Islands,0,0,0,,,,,,,ciskei,0,,0,0%
,,,,,,,,,,,,,,,Malta,160,116,276,,,,,,,Equatorial  Guinea,0,2,2,0%
,,,,,,,,,,,,,,,Moldova,54,39,93,,,,,,,Guinea0Bissau,0,1,1,0%
,,,,,,,,,,,,,,,Monaco,68,6,74,,,,,,,Mauritun,0,0,0,0%
,,,,,,,,,,,,,,,Montenegro,24,38,62,,,,,,,Mayotte,30,0,30,0%
,,,,,,,,,,,,,,,Netherlands,14921,16748,31669,,,,,,,Melilla,0,0,0,0%
,,,,,,,,,,,,,,,North Macedonia,81,24,105,,,,,,,Reunion,1299,0,1299,0%
,,,,,,,,,,,,,,,Norway,7581,4398,11979,,,,,,,Saint  Helena,0,1,1,0%
,,,,,,,,,,,,,,,Poland,9161,8289,17450,,,,,,,Sao Tome/Principe,0,0,0,0%
,,,,,,,,,,,,,,,Portugal,2828,3603,6431,,,,,,,South Sudan,0,1,1,0%
,,,,,,,,,,,,,,,Romania,2586,2945,5531,,,,,,,Transkei,0,0,0,0%
,,,,,,,,,,,,,,,Russian Federation,107020,107511,214531,,,,,,,Western  Sahara,0,0,0,0%
,,,,,,,,,,,,,,,San Marino,19,12,31,,,,,,,Anguilla,0,0,0,0%
,,,,,,,,,,,,,,,Serbia,434,309,743,,,,,,,Aruba,0,0,0,0%
,,,,,,,,,,,,,,,Slovakia,1144,1174,2318,,,,,,,Bermuda,24,0,24,0%
,,,,,,,,,,,,,,,Slovenia,1056,998,2054,,,,,,,Bonaire,0,0,0,0%
,,,,,,,,,,,,,,,Spain,15306,15691,30997,,,,,,,British  Virgin  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Sweden,14375,10003,24378,,,,,,,British Colony,0,0,0,0%
,,,,,,,,,,,,,,,Switzerland,15421,12363,27784,,,,,,,Cayman  Islands,20,0,20,0%
,,,,,,,,,,,,,,,Tajikistan,58,36,94,,,,,,,Clipperton  Island,0,0,0,0%
,,,,,,,,,,,,,,,Turkey,4416,5945,10361,,,,,,,Curacao,1,0,1,0%
,,,,,,,,,,,,,,,Turkmenistan,169,34,203,,,,,,,Falkland  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Ukraine,5196,2610,7806,,,,,,,French  Guiana,0,0,0,0%
,,,,,,,,,,,,,,,United Kingdom,72038,60403,132441,,,,,,,Greenland,23,0,23,0%
,,,,,,,,,,,,,,,Utopia,0,0,0,,,,,,,Guadalope,62,0,62,0%
,,,,,,,,,,,,,,,Uzbekistan,1377,2734,4111,,,,,,,Guatamala,,34,34,0%
,,,,,,,,,,,,,,,Vatican City State,0,0,0,,,,,,,Guatemala,50,,50,0%
,,,,,,,,,,,,,,,Yugoslavia,0,,0,,,,,,,Jamaica,27,,27,0%
,,,,,,,,,,,,,,,Middle East,31575,44644,76219,,,,,,,Jamica,,27,27,0%
,,,,,,,,,,,,,,,Bahrain,1933,2474,4407,,,,,,,Martinique,20,0,20,0%
,,,,,,,,,,,,,,,Egypt,1723,1624,3347,,,,,,,Montserrat,1,0,1,0%
,,,,,,,,,,,,,,,Iraq,324,354,678,,,,,,,Navassa Island,0,,0,0%
,,,,,,,,,,,,,,,Jordan,810,1027,1837,,,,,,,Netherlands  Antilles,0,0,0,0%
,,,,,,,,,,,,,,,Kuwait,5229,4561,9790,,,,,,,Puerto Rico,52,0,52,0%
,,,,,,,,,,,,,,,Lebanon,352,266,618,,,,,,,Saba,0,0,0,0%
,,,,,,,,,,,,,,,Libia,,39,39,,,,,,,Saint  Barthelemy,1,0,1,0%
,,,,,,,,,,,,,,,Libya,28,,28,,,,,,,Saint  Eustatius,0,0,0,0%
,,,,,,,,,,,,,,,Oman,6514,6897,13411,,,,,,,Saint  Martin,0,0,0,0%
,,,,,,,,,,,,,,,Palestine,110,164,274,,,,,,,Saint  Pierre  and  Miquelon,4,0,4,0%
,,,,,,,,,,,,,,,Qatar,1994,2941,4935,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,0%
,,,,,,,,,,,,,,,Saudi Arabia,2276,13508,15784,,,,,,,St.  Maarten,0,0,0,0%
,,,,,,,,,,,,,,,Syria,231,303,534,,,,,,,St.  Vincent  and  The  Grenadines,0,6,6,0%
,,,,,,,,,,,,,,,U.A.E.,9636,9729,19365,,,,,,,Surinam,,6,6,0%
,,,,,,,,,,,,,,,Yemen,415,757,1172,,,,,,,Suriname,7,,7,0%
,,,,,,,,,,,,,,,other,948,,948,,,,,,,Turks  and  Caicos,0,0,0,0%
,,,,,,,,,,,,,,,stateless person,948,,948,,,,,,,United  States Virgin  Island,0,0,0,0%
,,,,,,,,,,,,,,,Unspecified,0,,0,,,,,,,Afganistan,,41,41,0%
,,,,,,,,,,,,,,,Nov,3386366,2637077,6023443,,,,,,,Afghanistan,146,,146,0%
,,,,,,,,,,,,,,,Africa,15814,10149,25963,,,,,,,American Samoa,0,3,3,0%
,,,,,,,,,,,,,,,Algeria,334,193,527,,,,,,,Ashmore and  Cartier  Islands,0,,0,0%
,,,,,,,,,,,,,,,Angola,23,13,36,,,,,,,Baker  Island,0,0,0,0%
,,,,,,,,,,,,,,,Benin,20,5,25,,,,,,,Bouvet  Island,0,0,0,0%
,,,,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,British Antarctic Territory,0,0,0,0%
,,,,,,,,,,,,,,,Botswana,102,24,126,,,,,,,British Indian Ocean Territory,0,0,0,0%
,,,,,,,,,,,,,,,Burkina  Faso,37,6,43,,,,,,,Caroline Islands,0,0,0,0%
,,,,,,,,,,,,,,,Burundi,0,2,2,,,,,,,Christmas Island,0,0,0,0%
,,,,,,,,,,,,,,,Cameroon,71,49,120,,,,,,,Cocos( Kelling)Islands,0,0,0,0%
,,,,,,,,,,,,,,,Canary  Islands,0,0,0,,,,,,,Cook  Islands,9,0,9,0%
,,,,,,,,,,,,,,,Cape Verde Rep.,1,7,8,,,,,,,Coral  Sea  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Central African Republic,3,0,3,,,,,,,French  Polynesia,48,0,48,0%
,,,,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Guam,91,0,91,0%
,,,,,,,,,,,,,,,Chad,15,14,29,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,0%
,,,,,,,,,,,,,,,ciskei,0,,0,,,,,,,Howland Island,0,0,0,0%
,,,,,,,,,,,,,,,Comoros,73,88,161,,,,,,,Jarvis  Island,0,0,0,0%
,,,,,,,,,,,,,,,Côte d'Ivoire,31,29,60,,,,,,,Johnston Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Djibouti,10,3,13,,,,,,,Kingman  Reef,0,0,0,0%
,,,,,,,,,,,,,,,Equatorial  Guinea,2,2,4,,,,,,,Micronesia FSM,0,0,0,0%
,,,,,,,,,,,,,,,Eritrea,31,72,103,,,,,,,Midway  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Eswatini,17,10,27,,,,,,,N. Mariana Islands,0,0,0,0%
,,,,,,,,,,,,,,,Ethiopia,2370,1185,3555,,,,,,,New Caledonia,154,0,154,0%
,,,,,,,,,,,,,,,Gabon,3,4,7,,,,,,,Niue,0,0,0,0%
,,,,,,,,,,,,,,,Gambia,17,14,31,,,,,,,Norfalk  Island,0,0,0,0%
,,,,,,,,,,,,,,,Ghana,64,48,112,,,,,,,North Korea,0,0,0,0%
,,,,,,,,,,,,,,,Guinea,111,21,132,,,,,,,Palau,4,0,4,0%
,,,,,,,,,,,,,,,Guinea0Bissau,2,2,4,,,,,,,Palmyra Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Kenya,873,367,1240,,,,,,,Pitcairn Islands,0,0,0,0%
,,,,,,,,,,,,,,,Lesotho,24,14,38,,,,,,,Ross  Dependency,0,0,0,0%
,,,,,,,,,,,,,,,Liberia,14,21,35,,,,,,,Samoa,8,0,8,0%
,,,,,,,,,,,,,,,Madagascar,126,72,198,,,,,,,Tokelau,0,0,0,0%
,,,,,,,,,,,,,,,Malawi,23,10,33,,,,,,,Trust Pacific,0,0,0,0%
,,,,,,,,,,,,,,,Mali,55,69,124,,,,,,,Tuvalu,0,0,0,0%
,,,,,,,,,,,,,,,Mauritania,4,11,15,,,,,,,United States Minor Outlying Island,0,0,0,0%
,,,,,,,,,,,,,,,Mauritius,1438,1760,3198,,,,,,,Vanautu,,158,158,0%
,,,,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,Vanuatu,57,,57,0%
,,,,,,,,,,,,,,,Mayotte,32,1,33,,,,,,,Wake  Island,0,0,0,0%
,,,,,,,,,,,,,,,Melilla,0,0,0,,,,,,,Wallis  and  Futuna  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Morocco,634,758,1392,,,,,,,Channel Islands,13,,13,0%
,,,,,,,,,,,,,,,Mozambique,128,60,188,,,,,,,Faeroe Islands ,4,0,4,0%
,,,,,,,,,,,,,,,Namibia,78,23,101,,,,,,,France  Mtr.,0,,0,0%
,,,,,,,,,,,,,,,Niger,10,7,17,,,,,,,French Southern and Antarctic Territories,0,0,0,0%
,,,,,,,,,,,,,,,Nigeria,230,157,387,,,,,,,Gibraltar,54,0,54,0%
,,,,,,,,,,,,,,,République Démocratique du Congo,0,19,19,,,,,,,Guernsey,26,0,26,0%
,,,,,,,,,,,,,,,République du Congo,40,3,43,,,,,,,Isle of Man,30,0,30,0%
,,,,,,,,,,,,,,,Reunion,928,0,928,,,,,,,Jersey,41,0,41,0%
,,,,,,,,,,,,,,,Rwanda,28,9,37,,,,,,,Kosovo,0,14,14,0%
,,,,,,,,,,,,,,,Saint  Helena,0,0,0,,,,,,,Madiera Islands,0,0,0,0%
,,,,,,,,,,,,,,,Sao Tome/Principe,0,1,1,,,,,,,Utopia,0,0,0,0%
,,,,,,,,,,,,,,,Senegal,82,76,158,,,,,,,Vatican City State,0,1,1,0%
,,,,,,,,,,,,,,,Seychelles,255,67,322,,,,,,,Yugoslavia,0,,0,0%
,,,,,,,,,,,,,,,Sierra Leone,17,9,26,,,,,,,Libia,,24,24,0%
,,,,,,,,,,,,,,,Somalia,23,66,89,,,,,,,Libya,23,,23,0%
,,,,,,,,,,,,,,,South  Africa,5857,3832,9689,,,,,,,other,518,,518,0%
,,,,,,,,,,,,,,,South Sudan,0,3,3,,,,,,,stateless person,518,,518,0%
,,,,,,,,,,,,,,,Sudan,346,305,651,,,,,,,Unspecified,0,,0,0%
,,,,,,,,,,,,,,,Tanzania,268,133,401,,,,,,,Bophuthatswana,0,0,0,0%
,,,,,,,,,,,,,,,Togo,12,7,19,,,,,,,Canary  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Transkei,0,0,0,,,,,,,Ceuta,0,0,0,0%
,,,,,,,,,,,,,,,Tunisia,433,224,657,,,,,,,ciskei,0,,0,0%
,,,,,,,,,,,,,,,Uganda,342,134,476,,,,,,,Guinea0Bissau,0,0,0,0%
,,,,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Lesotho,11,0,11,0%
,,,,,,,,,,,,,,,Zambia,49,35,84,,,,,,,Mauritun,0,0,0,0%
,,,,,,,,,,,,,,,Zimbabwe,128,105,233,,,,,,,Melilla,0,0,0,0%
,,,,,,,,,,,,,,,America,165016,147089,312105,,,,,,,République Démocratique du Congo,0,31,31,0%
,,,,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,Reunion,750,0,750,0%
,,,,,,,,,,,,,,,Antigua  and  Barbuda,6,48,54,,,,,,,Saint  Helena,0,1,1,0%
,,,,,,,,,,,,,,,Argentina,2803,1894,4697,,,,,,,Sao Tome/Principe,1,0,1,0%
,,,,,,,,,,,,,,,Aruba,0,0,0,,,,,,,South Sudan,0,4,4,0%
,,,,,,,,,,,,,,,Bahamas,15,9,24,,,,,,,Transkei,0,0,0,0%
,,,,,,,,,,,,,,,Barbados,4,15,19,,,,,,,Western  Sahara,0,0,0,0%
,,,,,,,,,,,,,,,Belize,0,4,4,,,,,,,Anguilla,0,0,0,0%
,,,,,,,,,,,,,,,Bermuda,19,0,19,,,,,,,Aruba,0,0,0,0%
,,,,,,,,,,,,,,,Bolivia,63,55,118,,,,,,,Bermuda,13,0,13,0%
,,,,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Bonaire,0,0,0,0%
,,,,,,,,,,,,,,,Brazil,8590,7393,15983,,,,,,,British  Virgin  Islands,0,0,0,0%
,,,,,,,,,,,,,,,British  Virgin  Islands,2,0,2,,,,,,,British Colony,0,0,0,0%
,,,,,,,,,,,,,,,British Colony,0,0,0,,,,,,,Cayman  Islands,4,0,4,0%
,,,,,,,,,,,,,,,Canada,26439,23831,50270,,,,,,,Clipperton  Island,0,0,0,0%
,,,,,,,,,,,,,,,Cayman  Islands,4,0,4,,,,,,,Curacao,0,0,0,0%
,,,,,,,,,,,,,,,Chile,1010,1493,2503,,,,,,,Falkland  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Clipperton  Island,0,0,0,,,,,,,French  Guiana,0,0,0,0%
,,,,,,,,,,,,,,,Colombia,1414,1320,2734,,,,,,,Greenland,16,0,16,0%
,,,,,,,,,,,,,,,Costa rica,162,131,293,,,,,,,Guadalope,18,0,18,0%
,,,,,,,,,,,,,,,Cuba,36,26,62,,,,,,,Guatamala,,30,30,0%
,,,,,,,,,,,,,,,Curacao,0,0,0,,,,,,,Guatemala,62,,62,0%
,,,,,,,,,,,,,,,Dominica,12,39,51,,,,,,,Jamaica,27,,27,0%
,,,,,,,,,,,,,,,Ecuador,186,245,431,,,,,,,Jamica,,32,32,0%
,,,,,,,,,,,,,,,El Salvador,52,29,81,,,,,,,Martinique,10,0,10,0%
,,,,,,,,,,,,,,,Falkland  Islands,0,0,0,,,,,,,Montserrat,0,0,0,0%
,,,,,,,,,,,,,,,French  Guiana,2,0,2,,,,,,,Navassa Island,0,,0,0%
,,,,,,,,,,,,,,,Greenland,33,0,33,,,,,,,Netherlands  Antilles,0,0,0,0%
,,,,,,,,,,,,,,,Grenada,3,12,15,,,,,,,Puerto Rico,18,0,18,0%
,,,,,,,,,,,,,,,Guadalope,6,0,6,,,,,,,Saba,0,0,0,0%
,,,,,,,,,,,,,,,Guatamala,,123,123,,,,,,,Saint  Barthelemy,0,0,0,0%
,,,,,,,,,,,,,,,Guatemala,100,,100,,,,,,,Saint  Eustatius,0,0,0,0%
,,,,,,,,,,,,,,,Guyana,3,6,9,,,,,,,Saint  Martin,1,0,1,0%
,,,,,,,,,,,,,,,Haiti,3,4,7,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,0%
,,,,,,,,,,,,,,,Honduras,27,29,56,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,0%
,,,,,,,,,,,,,,,Jamaica,49,,49,,,,,,,St.  Maarten,0,0,0,0%
,,,,,,,,,,,,,,,Jamica,,45,45,,,,,,,Surinam,,12,12,0%
,,,,,,,,,,,,,,,Martinique,9,0,9,,,,,,,Suriname,9,,9,0%
,,,,,,,,,,,,,,,Mexico,3923,5158,9081,,,,,,,Turks  and  Caicos,0,0,0,0%
,,,,,,,,,,,,,,,Montserrat,0,0,0,,,,,,,United  States Virgin  Island,0,0,0,0%
,,,,,,,,,,,,,,,Navassa Island,0,,0,,,,,,,Afganistan,,60,60,0%
,,,,,,,,,,,,,,,Netherlands  Antilles,0,3,3,,,,,,,Afghanistan,181,,181,0%
,,,,,,,,,,,,,,,Nicaragua,10,5,15,,,,,,,American Samoa,0,3,3,0%
,,,,,,,,,,,,,,,Panama,121,58,179,,,,,,,Ashmore and  Cartier  Islands,0,,0,0%
,,,,,,,,,,,,,,,Paraguay,44,32,76,,,,,,,Baker  Island,0,0,0,0%
,,,,,,,,,,,,,,,Peru,749,819,1568,,,,,,,Bouvet  Island,0,0,0,0%
,,,,,,,,,,,,,,,Puerto Rico,218,0,218,,,,,,,British Antarctic Territory,0,0,0,0%
,,,,,,,,,,,,,,,República Dominicana,67,66,133,,,,,,,British Indian Ocean Territory,0,0,0,0%
,,,,,,,,,,,,,,,Saba,0,0,0,,,,,,,Caroline Islands,1,0,1,0%
,,,,,,,,,,,,,,,Saint  Barthelemy,0,0,0,,,,,,,Christmas Island,0,0,0,0%
,,,,,,,,,,,,,,,Saint  Eustatius,0,0,0,,,,,,,Cocos( Kelling)Islands,0,0,0,0%
,,,,,,,,,,,,,,,Saint  Lucia,0,10,10,,,,,,,Cook  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Saint  Martin,0,0,0,,,,,,,Coral  Sea  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,,,,,,,French  Polynesia,25,0,25,0%
,,,,,,,,,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,,,,,,,Guam,43,0,43,0%
,,,,,,,,,,,,,,,St.  Kitts  and  Nevis,10,65,75,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,0%
,,,,,,,,,,,,,,,St.  Maarten,0,0,0,,,,,,,Howland Island,0,0,0,0%
,,,,,,,,,,,,,,,St.  Vincent  and  The  Grenadines,0,2,2,,,,,,,Jarvis  Island,0,0,0,0%
,,,,,,,,,,,,,,,Surinam,,14,14,,,,,,,Johnston Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Suriname,33,,33,,,,,,,Kingman  Reef,0,0,0,0%
,,,,,,,,,,,,,,,The United States of America,118439,103726,222165,,,,,,,Micronesia FSM,0,0,0,0%
,,,,,,,,,,,,,,,Trinidad and Tobago,71,50,121,,,,,,,Midway  Islands,0,0,0,0%
,,,,,,,,,,,,,,,Turks  and  Caicos,0,1,1,,,,,,,N. Mariana Islands,1,0,1,0%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,New Caledonia,178,0,178,0%
,,,,,,,,,,,,,,,Uruguay,241,177,418,,,,,,,Niue,0,0,0,0%
,,,,,,,,,,,,,,,Venezuela,38,152,190,,,,,,,Norfalk  Island,1,0,1,0%
,,,,,,,,,,,,,,,Asia and the Pacific,2489444,1773401,4262845,,,,,,,North Korea,0,3,3,0%
,,,,,,,,,,,,,,,Afganistan,,30,30,,,,,,,Palmyra Atoll,0,0,0,0%
,,,,,,,,,,,,,,,Afghanistan,279,,279,,,,,,,Pitcairn Islands,0,0,0,0%
,,,,,,,,,,,,,,,American Samoa,0,0,0,,,,,,,Ross  Dependency,0,0,0,0%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,Samoa,10,0,10,0%
,,,,,,,,,,,,,,,Australia,55198,59684,114882,,,,,,,Tokelau,0,0,0,0%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,Trust Pacific,0,0,0,0%
,,,,,,,,,,,,,,,Bangladesh,11457,10602,22059,,,,,,,Tuvalu,0,1,1,0%
,,,,,,,,,,,,,,,Bhutan,1941,1155,3096,,,,,,,United States Minor Outlying Island,0,0,0,0%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Vanautu,,126,126,0%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,Vanuatu,56,,56,0%
,,,,,,,,,,,,,,,British Indian Ocean Territory,0,0,0,,,,,,,Wake  Island,0,0,0,0%
,,,,,,,,,,,,,,,Brunei,1965,1426,3391,,,,,,,Wallis  and  Futuna  Islands,4,0,4,0%
,,,,,,,,,,,,,,,Cambodia,74092,52138,126230,,,,,,,Channel Islands,0,,0,0%
,,,,,,,,,,,,,,,Caroline Islands,0,0,0,,,,,,,Faeroe Islands ,4,0,4,0%
,,,,,,,,,,,,,,,China,804876,310266,1115142,,,,,,,France  Mtr.,0,,0,0%
,,,,,,,,,,,,,,,Christmas Island,0,0,0,,,,,,,French Southern and Antarctic Territories,0,0,0,0%
,,,,,,,,,,,,,,,Cocos( Kelling)Islands,0,0,0,,,,,,,Gibraltar,21,0,21,0%
,,,,,,,,,,,,,,,Cook  Islands,5,0,5,,,,,,,Guernsey,17,0,17,0%
,,,,,,,,,,,,,,,Coral  Sea  Islands,0,0,0,,,,,,,Isle of Man,12,0,12,0%
,,,,,,,,,,,,,,,Fiji,159,156,315,,,,,,,Jersey,42,0,42,0%
,,,,,,,,,,,,,,,French  Polynesia,47,0,47,,,,,,,Kosovo,0,12,12,0%
,,,,,,,,,,,,,,,Guam,63,0,63,,,,,,,Madiera Islands,0,0,0,0%
,,,,,,,,,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,,,,,,,Utopia,0,0,0,0%
,,,,,,,,,,,,,,,Hong Kong (China),83058,57192,140250,,,,,,,Vatican City State,0,0,0,0%
,,,,,,,,,,,,,,,Howland Island,0,0,0,,,,,,,Yugoslavia,0,,0,0%
,,,,,,,,,,,,,,,India,172949,148212,321161,,,,,,,Libia,,26,26,0%
,,,,,,,,,,,,,,,Indonesia,63707,71481,135188,,,,,,,Libya,22,,22,0%
,,,,,,,,,,,,,,,Iran,4836,5442,10278,,,,,,,other,1200,,1200,0%
,,,,,,,,,,,,,,,Japan,154081,87230,241311,,,,,,,stateless person,1200,,1200,0%
,,,,,,,,,,,,,,,Jarvis  Island,0,0,0,,,,,,,Unspecified,0,,0,0%
,,,,,,,,,,,,,,,Johnston Atoll,0,0,0,,,,,,,Bophuthatswana,0,0,0,0%
,,,,,,,,,,,,,,,Kingman  Reef,0,0,0,,,,,,,Canary  Islands,2,0,2,0%
,,,,,,,,,,,,,,,Kiribati,2,3,5,,,,,,,Ceuta,0,0,0,0%
,,,,,,,,,,,,,,,Korea (Republic of),155065,147198,302263,,,,,,,ciskei,0,,0,0%
,,,,,,,,,,,,,,,Laos,150299,78147,228446,,,,,,,Equatorial  Guinea,0,1,1,0%
,,,,,,,,,,,,,,,Macao (China),5786,2384,8170,,,,,,,Mauritania,0,5,5,0%
